Code,Date,Open,High,Low,Close,Volume,Value,Trades
SBR,16/05/2011,0.120,0.120,0.115,0.115,61000,7070.000,6
SBR,17/05/2011,0.115,0.115,0.115,0.115,2440,280.600,1
SBR,18/05/2011,0.120,0.120,0.120,0.120,80000,9600.000,2
SBR,19/05/2011,0.120,0.120,0.115,0.120,205000,24415.000,7
SBR,20/05/2011,0.120,0.125,0.120,0.125,30700,3734.000,3
SBR,23/05/2011,0.000,0.000,0.000,0.125,0,0.000,0
SBR,24/05/2011,0.120,0.120,0.120,0.120,40000,4800.000,1
SBR,25/05/2011,0.115,0.115,0.105,0.105,449955,47794.825,9
SBR,26/05/2011,0.100,0.140,0.095,0.115,942345,102991.400,36
SBR,27/05/2011,0.115,0.120,0.115,0.120,71445,8416.675,6
SBR,30/05/2011,0.120,0.120,0.120,0.120,92500,11100.000,4
SBR,31/05/2011,0.105,0.120,0.105,0.120,115000,12300.000,4
SBR,01/06/2011,0.110,0.130,0.100,0.110,81739,9477.240,9
SBR,02/06/2011,0.120,0.120,0.110,0.120,84500,9690.000,6
SBR,03/06/2011,0.115,0.130,0.115,0.130,59500,7078.900,3
SBR,06/06/2011,0.125,0.125,0.125,0.125,10000,1250.000,1
SBR,07/06/2011,0.125,0.180,0.125,0.170,2327996,360014.140,119
SBR,08/06/2011,0.170,0.170,0.130,0.140,796649,116310.230,49
SBR,09/06/2011,0.140,0.140,0.130,0.135,427972,56801.025,18
SBR,10/06/2011,0.140,0.140,0.130,0.130,254567,33943.710,6
SBR,14/06/2011,0.130,0.130,0.125,0.125,76695,9739.040,5
SBR,15/06/2011,0.125,0.125,0.125,0.125,249358,31169.750,12
SBR,16/06/2011,0.000,0.000,0.000,0.125,0,0.000,0
SBR,17/06/2011,0.125,0.125,0.105,0.105,112586,13041.130,10
SBR,20/06/2011,0.110,0.110,0.105,0.105,50000,5325.000,3
SBR,21/06/2011,0.110,0.110,0.110,0.110,63000,6930.000,3
SBR,22/06/2011,0.110,0.110,0.110,0.110,492000,54120.000,7
SBR,23/06/2011,0.110,0.120,0.110,0.110,1369870,152871.640,22
SBR,24/06/2011,0.110,0.125,0.110,0.120,404160,47549.950,11
SBR,27/06/2011,0.125,0.130,0.110,0.110,1200600,134740.750,13
SBR,28/06/2011,0.115,0.120,0.115,0.115,237000,27840.000,10
SBR,29/06/2011,0.115,0.115,0.110,0.115,285500,32332.500,5
SBR,30/06/2011,0.115,0.115,0.110,0.115,254800,28299.500,15
SBR,01/07/2011,0.115,0.130,0.115,0.130,108276,13847.880,4
SBR,04/07/2011,0.130,0.130,0.130,0.130,70380,9149.400,4
SBR,05/07/2011,0.130,0.150,0.130,0.150,92134,12327.420,5
SBR,06/07/2011,0.000,0.000,0.000,0.150,0,0.000,0
SBR,07/07/2011,0.140,0.140,0.135,0.135,110000,15150.000,6
SBR,08/07/2011,0.135,0.135,0.130,0.130,152866,19922.580,4
SBR,11/07/2011,0.125,0.130,0.125,0.130,106000,13495.750,5
SBR,12/07/2011,0.000,0.000,0.000,0.130,0,0.000,0
SBR,13/07/2011,0.120,0.120,0.120,0.120,28975,3477.000,1
SBR,14/07/2011,0.120,0.130,0.120,0.130,91625,11395.000,4
SBR,15/07/2011,0.120,0.120,0.120,0.120,50000,6000.000,2
SBR,18/07/2011,0.000,0.000,0.000,0.120,0,0.000,0
SBR,19/07/2011,0.130,0.130,0.120,0.120,320000,40139.035,10
SBR,20/07/2011,0.120,0.130,0.115,0.130,88492,10330.115,4
SBR,21/07/2011,0.140,0.140,0.135,0.140,125000,17450.000,5
SBR,22/07/2011,0.130,0.140,0.130,0.140,40000,5500.000,3
SBR,25/07/2011,0.000,0.000,0.000,0.140,0,0.000,0
SBR,26/07/2011,0.140,0.140,0.140,0.140,158600,22204.000,7
SBR,27/07/2011,0.150,0.150,0.140,0.145,418747,59858.315,10
SBR,28/07/2011,0.145,0.145,0.145,0.145,180000,26100.000,5
SBR,29/07/2011,0.000,0.000,0.000,0.145,0,0.000,0
SBR,01/08/2011,0.150,0.150,0.145,0.145,120000,17500.000,5
SBR,02/08/2011,0.145,0.145,0.145,0.145,150902,21880.790,5
SBR,03/08/2011,0.140,0.150,0.140,0.150,64000,9000.000,4
SBR,04/08/2011,0.000,0.000,0.000,0.150,0,0.000,0
SBR,05/08/2011,0.130,0.130,0.115,0.125,257972,31292.720,13
SBR,08/08/2011,0.100,0.105,0.100,0.105,436372,45069.060,19
