Code,Date,Open,High,Low,Close,Volume,Value,Trades
ADV,04/12/2014,0.000,0.000,0.000,0.008,0,0.000,0
ADV,05/12/2014,0.009,0.009,0.006,0.006,2650000,19100.000,5
ADV,08/12/2014,0.007,0.007,0.006,0.006,600000,4100.000,2
ADV,09/12/2014,0.006,0.006,0.006,0.006,822216,4933.296,4
ADV,10/12/2014,0.000,0.000,0.000,0.006,0,0.000,0
ADV,11/12/2014,0.000,0.000,0.000,0.006,0,0.000,0
ADV,12/12/2014,0.000,0.000,0.000,0.006,0,0.000,0
ADV,15/12/2014,0.005,0.005,0.005,0.005,315000,1575.000,2
ADV,16/12/2014,0.004,0.004,0.004,0.004,469000,1876.000,3
ADV,17/12/2014,0.004,0.005,0.004,0.005,842111,3718.444,4
ADV,18/12/2014,0.005,0.005,0.005,0.005,309000,1545.000,2
ADV,19/12/2014,0.000,0.000,0.000,0.005,0,0.000,0
ADV,22/12/2014,0.005,0.005,0.005,0.005,91667,458.335,1
ADV,23/12/2014,0.000,0.000,0.000,0.005,0,0.000,0
ADV,24/12/2014,0.000,0.000,0.000,0.005,0,0.000,0
ADV,29/12/2014,0.005,0.005,0.005,0.005,50000,250.000,1
ADV,30/12/2014,0.000,0.000,0.000,0.005,0,0.000,0
ADV,31/12/2014,0.000,0.000,0.000,0.005,0,0.000,0
ADV,02/01/2015,0.005,0.005,0.004,0.004,825000,3860.000,7
ADV,05/01/2015,0.005,0.005,0.005,0.005,215500,1077.500,3
ADV,06/01/2015,0.005,0.007,0.005,0.007,605000,3297.126,8
ADV,07/01/2015,0.006,0.006,0.005,0.006,1559355,9046.775,5
ADV,08/01/2015,0.005,0.006,0.005,0.006,1000000,5100.000,5
ADV,09/01/2015,0.006,0.006,0.006,0.006,263341,1580.046,3
ADV,12/01/2015,0.005,0.005,0.005,0.005,912125,4560.625,3
ADV,13/01/2015,0.005,0.005,0.005,0.005,290316,1451.580,2
ADV,14/01/2015,0.005,0.005,0.005,0.005,290312,1451.560,1
ADV,15/01/2015,0.005,0.005,0.005,0.005,500000,2500.000,1
ADV,16/01/2015,0.000,0.000,0.000,0.005,0,0.000,0
ADV,19/01/2015,0.005,0.006,0.005,0.005,400000,2002.753,4
ADV,20/01/2015,0.004,0.005,0.004,0.005,1563500,7504.000,8
ADV,21/01/2015,0.005,0.005,0.005,0.005,275000,1375.000,3
ADV,22/01/2015,0.000,0.000,0.000,0.005,0,0.000,0
ADV,23/01/2015,0.005,0.005,0.005,0.005,225000,1125.000,1
ADV,27/01/2015,0.005,0.005,0.005,0.005,250000,1250.000,1
ADV,28/01/2015,0.000,0.000,0.000,0.005,0,0.000,0
ADV,29/01/2015,0.005,0.005,0.005,0.005,250000,1250.000,1
ADV,30/01/2015,0.000,0.000,0.000,0.005,0,0.000,0
ADV,02/02/2015,0.005,0.005,0.005,0.005,839924,4199.620,10
ADV,03/02/2015,0.005,0.005,0.005,0.005,730086,3650.430,4
ADV,04/02/2015,0.000,0.000,0.000,0.005,0,0.000,0
ADV,05/02/2015,0.005,0.005,0.005,0.005,2646664,13233.320,12
ADV,06/02/2015,0.005,0.005,0.005,0.005,269779,1348.895,4
ADV,09/02/2015,0.005,0.005,0.005,0.005,230221,1151.105,2
ADV,10/02/2015,0.004,0.004,0.004,0.004,75000,300.000,1
ADV,11/02/2015,0.000,0.000,0.000,0.004,0,0.000,0
ADV,12/02/2015,0.004,0.004,0.004,0.004,1500000,6000.000,6
ADV,13/02/2015,0.004,0.004,0.004,0.004,1227570,4910.280,3
ADV,16/02/2015,0.004,0.004,0.004,0.004,100000,400.000,1
ADV,17/02/2015,0.005,0.005,0.005,0.005,4099890,20499.450,14
ADV,18/02/2015,0.006,0.006,0.005,0.005,3315002,18990.012,18
ADV,19/02/2015,0.005,0.007,0.005,0.006,2900000,17350.000,8
ADV,20/02/2015,0.006,0.006,0.006,0.006,909510,5457.060,4
ADV,23/02/2015,0.006,0.006,0.005,0.005,1936550,11606.240,8
ADV,24/02/2015,0.006,0.006,0.006,0.006,3680000,22080.000,11
ADV,25/02/2015,0.006,0.007,0.006,0.007,3398885,22012.595,15
ADV,26/02/2015,0.007,0.007,0.006,0.006,1150000,7650.000,7
ADV,27/02/2015,0.006,0.007,0.006,0.006,930000,5680.000,6
ADV,02/03/2015,0.006,0.006,0.006,0.006,1450400,8702.400,9
ADV,03/03/2015,0.006,0.006,0.006,0.006,526548,3159.288,2
ADV,04/03/2015,0.000,0.000,0.000,0.006,0,0.000,0
ADV,05/03/2015,0.007,0.008,0.007,0.007,530000,3740.000,5
ADV,06/03/2015,0.007,0.007,0.007,0.007,750000,5250.000,1
ADV,09/03/2015,0.007,0.007,0.006,0.006,270000,1740.000,2
ADV,10/03/2015,0.007,0.009,0.007,0.008,12783358,104711.058,63
ADV,11/03/2015,0.008,0.009,0.008,0.008,9750461,81777.899,36
ADV,12/03/2015,0.008,0.008,0.007,0.008,6650000,47950.000,16
ADV,13/03/2015,0.007,0.007,0.006,0.007,2333651,16017.299,14
