Code,Date,Open,High,Low,Close,Volume,Value,Trades
SE1,23/12/2016,0.385,0.390,0.330,0.335,2954618,1051967.385,232
SE1,28/12/2016,0.340,0.370,0.340,0.350,644785,225047.070,62
SE1,29/12/2016,0.350,0.350,0.340,0.340,397730,137889.990,21
SE1,30/12/2016,0.335,0.335,0.330,0.330,176501,58719.135,19
SE1,03/01/2017,0.330,0.340,0.320,0.340,336751,109794.070,27
SE1,04/01/2017,0.340,0.370,0.340,0.370,371686,131189.340,37
SE1,05/01/2017,0.370,0.370,0.350,0.350,354605,126103.135,24
SE1,06/01/2017,0.355,0.365,0.345,0.345,339270,118848.500,19
SE1,09/01/2017,0.350,0.350,0.315,0.325,608923,204117.890,47
SE1,10/01/2017,0.330,0.345,0.325,0.340,411444,137208.740,30
SE1,11/01/2017,0.340,0.345,0.335,0.340,62380,21159.200,8
SE1,12/01/2017,0.340,0.340,0.325,0.330,269899,89044.735,23
SE1,13/01/2017,0.325,0.330,0.325,0.330,109197,35818.010,7
SE1,16/01/2017,0.330,0.330,0.325,0.325,93037,30624.475,11
SE1,17/01/2017,0.330,0.350,0.325,0.340,428500,145818.955,36
SE1,18/01/2017,0.345,0.390,0.345,0.390,710336,267430.770,67
SE1,19/01/2017,0.390,0.395,0.380,0.380,153534,60012.870,14
SE1,20/01/2017,0.380,0.385,0.350,0.385,368141,134736.625,40
SE1,23/01/2017,0.380,0.390,0.370,0.380,185690,70377.595,22
SE1,24/01/2017,0.380,0.380,0.360,0.360,144356,52650.280,14
SE1,25/01/2017,0.360,0.360,0.340,0.350,391806,135466.370,41
SE1,27/01/2017,0.340,0.355,0.340,0.355,345900,118137.150,29
SE1,30/01/2017,0.355,0.365,0.335,0.350,296770,103066.480,18
SE1,31/01/2017,0.360,0.360,0.345,0.350,108571,37975.850,14
SE1,01/02/2017,0.345,0.370,0.345,0.370,235000,82630.000,25
SE1,02/02/2017,0.360,0.370,0.350,0.350,478394,170195.635,29
SE1,03/02/2017,0.350,0.350,0.330,0.335,345228,118241.915,19
SE1,06/02/2017,0.330,0.335,0.320,0.335,573067,186747.910,43
